Aircraft Model,Consumption
B737,796
B738,832
B3XM,716
B752,877
B763,1320
B762,1722
B789,1426
B772,2300
B773,2500
B779,2250
B74S,2289
B742,3830
B744,3700
A310,1189
A320,800
A330,1505
A380,4062
A337,1800
A3ST,1260
SGUP,1156
A332,1480
E145,284
E170,469
CRJ2,325
CRJ7,444
R22,10
R44,15
R66,23
B206,30
B407,50
E135,75
H60,120
AS50,143
A139,145
S92,180
H47,390
ASTR,198
G150,228
GALX,278
G280,297
GLF2,579
GLF3,568
GLF4,479
GLF5,447
GLF6,503
GA5C,402
GA6C,458
GA7C,382
GA8C,375
GL5T,450
GL6T,455
GLEX,500
GL7T,460
F900,347
FA50,229
FA6X,419
FA7X,380
FA8X,380
F2TH,245
CL30,250
C750,347
CL30,295
CL60,262
C680,247
C68A,212
C700,288
C56X,217
C560,182
C25C,110
C25B,110
C441,57
BE22,60
BE30,121
BE40,220
B350,122
E550,280
E55P,166
E50P,109
LJ31,202
LJ40,207
LJ45,205
LJ60,239
LJ70,198
LJ75,199
HDJT,90
PC12,66
PC24,154
EA50,76
H25B,270
C152,6
C172,8
SR22,18
P51,65
T38,375
WHK2,500
WB57,531
C130,740
P3,671
DC87,1250
SLCH,2396
H60,400
PRM1,138
BE95,17
BE35,13
BE36,13
TBM7,55
FOX,
B105,
SF50,50
SLG4,
P28A,10
P28B,10
C25A,110
E50,36
