Celebrity Name,Tail Number,Aircraft Model,Total Emissions
A-Rod,N313AR,?,0
Blake Shelton,N703BG,?,0
Dan Bilzerian,N701DB,?,0
Dr. Phil & Son,N4DP,?,0
Dr. Phil & Son,N800JM,?,0
Taylor Swift,N621MM,?,0
Drake,N767CJ,?,0
Elton John,M-EDZE,?,0
Floyd Mayweather,N151SD,?,0
Garth Brooks,N810GT,?,0
George Strait,N518GS,?,0
Harrison Ford,N6GU,?,0
J Balvin,N714JB,?,0
Jackie Chan,N688JC,?,0
Jerry Seinfeld,N845JS,?,0
Jim Carrey,N162JC,?,0
Jimmy Buffet,N502JB,?,0
John Travolta,N707JT,?,0
John Travolta,N492JT,?,0
John Travolta,N327JT,?,0
John Travolta,N905FJ,?,0
John Travolta,N500CE,?,0
Julio Iglesias,N768JJ,?,0
Keith Urban,N510CX,?,0
Kenny Chesney,N7KC,?,0
Kid Rock,N71KR,?,0 
Kim Kardashian,N1980K,?,0
Kylie Jenner,N810KJ,?,0
Luke Bryan,N69FH,?,0
Mark Wahlberg,N143MW,?,0
Mark Wahlberg,N989DM,?,0
Michael Jordan,N236MJ,?,0
Oprah Winfrey,N540W,?,0
Ozuna,N600CK,?,0
Pitbull,N365WW,?,0
Pitbull,N178PT,?,0 
Playboy,N950PB,?,0
Puma/Jay-Z,N440J,?,0
Rick Ross,N676AS,?,0
Rihanna / Mariah Carey,N220F,?,0
Rolling Stones,ZSNEX,?,0
Sammy Hagar,N1013,?,0
Sebastian Maniscalco,N877H,?,0
Shaq,N3250N,?,0
Steven Spielberg,N800KS,?,0
Steven Speilberg,N900KS,?,0
Toby Kieth,N405TK,?,0
Tom Cruise,N77VA,?,0
Tyler Perry,N378TP,?,0
